subdomain,ip,reverse_dns,scheme,url,status,length,title,content_hash,server_header,ssl_sans,open_ports,banners
ftp.mail.ru,94.100.180.87,lfrd.mail.ru,http,http://ftp.mail.ru,200,385797,"Mail: почта, поиск в интернете, новости, игры",93435548de3e1aaa01868674ad7b01bbbf17f64343cc4d0532753d57c641787e,nginx/1.26.2,,"80,443","{""80"": ""HTTP/1.1 302 Moved Temporarily\r\nServer: nginx/1.26.1\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 145\r\nConnection: close\r\nLocation: https://mail.ru/?page404=http://*.mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.1\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
mail.mail.ru,94.100.180.70,www.mail.ru,http,http://mail.mail.ru,200,385902,"Mail: почта, поиск в интернете, новости, игры",aa26b1e3496a77d92027aff8b877cdee737ac5a125b4b3790f14ac911df09394,nginx/1.26.2,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: http://mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
www.mail.ru,217.69.139.70,www.mail.ru,http,http://www.mail.ru,200,385755,"Mail: почта, поиск в интернете, новости, игры",908f579b5074af6953cbfc06262ddead50671c903c20c03981f0f5ae90f9ebc8,nginx/1.26.2,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: http://mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:56 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
ftp.mail.ru,94.100.180.87,lfrd.mail.ru,https,https://ftp.mail.ru,200,385789,"Mail: почта, поиск в интернете, новости, игры",43e7c0523a89b25a8e173a8d4ac1bab9bf04d06b6058aeffb936dc3442534a62,nginx/1.26.2,"*.mail.ru, mail.ru","80,443","{""80"": ""HTTP/1.1 302 Moved Temporarily\r\nServer: nginx/1.26.1\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 145\r\nConnection: close\r\nLocation: https://mail.ru/?page404=http://*.mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.1\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
mail.mail.ru,94.100.180.70,www.mail.ru,https,https://mail.mail.ru,200,385809,"Mail: почта, поиск в интернете, новости, игры",fb43167541b2a95f8ff3be1757b5a40d61666f61f37100f03a74b918f499ef2d,nginx/1.26.2,"*.mail.ru, mail.ru","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: http://mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
www.mail.ru,217.69.139.70,www.mail.ru,https,https://www.mail.ru,200,385809,"Mail: почта, поиск в интернете, новости, игры",42b85271d16db3f82953f97bb3ae461aaabc1b5e3e199c414193172b95d7698f,nginx/1.26.2,"*.mail.ru, mail.ru","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:55 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: http://mail.ru/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:56 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
api.mail.ru,89.221.236.44,,http,http://api.mail.ru,200,30853,Mail.Ru API,9c7547a6b800393988f5564962833cf2c5ba82682fe10d06571b52c977e8563c,kittenx,,"80,443","{""80"": ""HTTP/1.1 400 Bad Request\r\nServer: kittenx\r\nDate: Thu, 10 Jul 2025 18:12:59 GMT\r\nContent-Type: text/html\r\nContent-Length: 150\r\nConnection: close\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: kittenx\r\nDate: Thu, 10 Jul 2025 18:13:00 GMT\r\nContent-Type: text/html\r\nContent-Length: 250\r\nConnection: close\r\n\r\n""}"
beta.mail.ru,95.163.59.188,kids.mail.ru,http,http://beta.mail.ru,200,111926,Бета-сообщество Почты Mail.ru,4ed637090bb6d85c51bde3c1f9663bd713726c5b3bede13a3f96d30ae0c516df,kittenx,,"80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:59 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: https://_/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:13:00 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
api.mail.ru,89.221.236.44,,https,https://api.mail.ru,200,30853,Mail.Ru API,9c7547a6b800393988f5564962833cf2c5ba82682fe10d06571b52c977e8563c,kittenx,"*.mail.ru, *.cdnmail.ru, *.distribmail.ru, *.imgsmail.ru, mail.ru","80,443","{""80"": ""HTTP/1.1 400 Bad Request\r\nServer: kittenx\r\nDate: Thu, 10 Jul 2025 18:12:59 GMT\r\nContent-Type: text/html\r\nContent-Length: 150\r\nConnection: close\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: kittenx\r\nDate: Thu, 10 Jul 2025 18:13:00 GMT\r\nContent-Type: text/html\r\nContent-Length: 250\r\nConnection: close\r\n\r\n""}"
beta.mail.ru,95.163.59.188,kids.mail.ru,https,https://beta.mail.ru,200,111926,Бета-сообщество Почты Mail.ru,4ed637090bb6d85c51bde3c1f9663bd713726c5b3bede13a3f96d30ae0c516df,kittenx,"*.mail.ru, mail.ru","80,443","{""80"": ""HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:12:59 GMT\r\nContent-Type: text/html\r\nContent-Length: 169\r\nConnection: close\r\nLocation: https://_/\r\n\r\n"", ""443"": ""HTTP/1.1 400 Bad Request\r\nServer: nginx/1.26.2\r\nDate: Thu, 10 Jul 2025 18:13:00 GMT\r\nContent-Type: text/html\r\nContent-Length: 255\r\nConnection: close\r\n\r\n""}"
